종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"011155","CJ씨푸드1우","KOSPI",,"17940","170","0.96","17950","17950","17610","38","674120","3588000000","200000"
"001045","CJ우","KOSPI",,"86400","1900","2.25","85000","87100","84500","3555","307175500","195283267200","2260223"
"097950","CJ제일제당","KOSPI",,"256000","-2500","-0.97","258500","259000","255500","24388","6256994250","3853871616000","15054186"
"097955","CJ제일제당 우","KOSPI",,"150000","400","0.27","149600","151000","149300","1842","276642400","199114950000","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","29250","300","1.04","29350","29900","29000","20808","615230650","347243890500","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","2000","39","1.99","1974","2010","1961","315728","627961978","286113066000","143056533"
"023460","CNH","KOSDAQ","관리종목(소속부없음)","29","-2","-6.45","32","32","27","4159419","118228895","1078800000","37200000"
"056730","CNT85","KOSDAQ","벤처기업부","804","0","0.00","804","806","799","871","699710","59585393544","74111186"
"000480","CR홀딩스","KOSPI",,"5580","50","0.90","5530","5580","5520","6741","37364080","261648934200","46890490"
"065770","CS","KOSDAQ","벤처기업부","1109","-23","-2.03","1132","1132","1100","40445","44998836","21526943170","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","2405","-5","-0.21","2440","2480","2375","100222","241219110","147299470305","61247181"
"000590","CS홀딩스","KOSPI",,"92300","2000","2.21","90300","93100","90200","495","45500800","106558688600","1154482"
"012030","DB","KOSPI",,"1472","28","1.94","1465","1474","1435","201469","292752176","296128029376","201173933"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2080","-5","-0.24","2085","2090","2080","1990","4150055","12147200000","5840000"
"005830","DB손해보험","KOSPI",,"133500","5000","3.89","128500","134000","128500","98894","13066126400","9451800000000","70800000"
"016610","DB증권","KOSPI",,"9190","480","5.51","8840","9460","8650","481131","4395413230","390082314910","42446389"
"000990","DB하이텍","KOSPI",,"46250","-150","-0.32","46750","46750","45900","41140","1904972800","2053434695000","44398588"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1266","-6","-0.47","1269","1290","1259","54652","69419276","33073020714","26124029"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","162944308992","82129188"
"290120","DH오토리드","KOSDAQ","우량기업부","2670","-40","-1.48","2710","2720","2660","5679","15195905","42250744830","15824249"
"025440","DH오토웨어","KOSDAQ","중견기업부","853","5","0.59","848","863","843","73433","62313208","41610384072","48781224"
"001530","DI동일","KOSPI",,"41600","-50","-0.12","42150","42650","41500","30161","1272117800","820167587200","19715567"
"015590","DKME","KOSPI",,"515","0","0.00","0","0","0","0","0","122045495160","236981544"
"000210","DL","KOSPI",,"54000","1300","2.47","53500","54700","53200","72518","3920742150","1131617736000","20955884"
"000215","DL우","KOSPI",,"26350","-50","-0.19","26500","26800","26250","7119","188987150","44429130250","1686115"
"375500","DL이앤씨","KOSPI",,"49300","-50","-0.10","49850","49850","48550","119481","5878890550","1907595613900","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"34000","50","0.15","33950","35650","33600","2036","69208900","71806334000","2111951"
"37550K","DL이앤씨우","KOSPI",,"22650","150","0.67","22600","22750","22350","1630","36702100","47879495250","2113885"
"068790","DMS","KOSDAQ","관리종목(소속부없음)","6330","0","0.00","0","0","0","0","0","149939488590","23687123"
"007340","DN오토모티브","KOSPI",,"25500","400","1.59","25650","25700","24800","26879","678567950","1492027057500","58510865"
"004840","DRB동일","KOSPI",,"5420","20","0.37","5400","5470","5360","8511","46094870","108020600000","19930000"
"241520","DSC인베스트먼트","KOSDAQ","중견기업부","7200","-90","-1.23","7300","7300","7120","92157","661722220","194400000000","27000000"
"155660","DSR","KOSPI",,"4105","10","0.24","4095","4125","4085","10022","41144105","65680000000","16000000"
"069730","DSR제강","KOSPI",,"3780","35","0.93","3765","3785","3730","906","3400275","54432000000","14400000"
"017860","DS단석","KOSPI",,"27300","50","0.18","27250","27600","27150","30032","820259175","480048987600","17584212"
"180400","DXVX","KOSDAQ","관리종목(소속부없음)","1967","79","4.18","1888","1988","1888","147251","286274593","96814622744","49219432"
"092780","DYP","KOSPI",,"4470","-25","-0.56","4500","4500","4370","7219","32136430","58863016200","13168460"
"017940","E1","KOSPI",,"97700","5400","5.85","94800","97700","92500","18973","1814344700","670222000000","6860000"
"418620","E8","KOSDAQ","기술성장기업부","4675","5","0.11","4670","4685","4555","78270","360596323","60075979975","12850477"
"245620","EDGC","KOSDAQ","관리종목(소속부없음)","415","0","0.00","0","0","0","0","0","57474989665","138493951"
"037370","EG","KOSDAQ","벤처기업부","6030","30","0.50","6000","6050","6000","2366","14240770","52008581160","8624972"
"278990","EMB","KONEX","일반기업부","3400","0","0.00","0","0","0","0","0","16445225400","4836831"
